TEMP_1,PPM_1,LEVEL_1,TEMP_2,PPM_2,LEVEL_2,TEMP_3,PPM_3,LEVEL_3,TEMP_4,PPM_4,LEVEL_4,TEMP_5,PPM_5,LEVEL_5,gas_leak,temp_overshoot,tank_leak
26.0,0.0,6.28,26.0,0.0,6.89,26.0,0.0,6.89,26.0,0.0,6.89,26.0,0.0,6.89,0,0,1
26.0,0.0,6.89,26.0,0.0,6.89,26.0,0.0,6.89,26.0,0.0,6.89,26.0,0.0,6.89,0,0,0
26.0,0.0,6.89,26.0,0.0,6.89,26.0,0.0,6.89,26.0,0.0,6.89,26.0,0.0,6.9,0,0,0
26.0,0.0,6.89,26.0,0.0,6.89,26.0,0.0,6.89,26.0,0.0,6.9,26.0,0.0,6.9,0,0,0
26.0,0.0,6.89,26.0,0.0,6.89,26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.9,0,0,0
26.0,0.0,6.89,26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.9,0,0,0
26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.9,0,0,0
26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.9,0,0,0
26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.9,0,0,0
26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.9,0,0,0
26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.9,0,0,0
26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.9,0,0,0
26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.9,0,0,0
26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.9,0,0,0
26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.91,0,0,0
26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.9,26.0,0.0,6.9,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.9,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.92,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.92,26.0,0.0,6.92,0,0,0
26.0,0.0,6.91,26.0,0.0,6.91,26.0,0.0,6.92,26.0,0.0,6.92,26.0,0.0,6.92,0,0,0
26.0,0.0,6.91,26.0,0.0,6.92,26.0,0.0,6.92,26.0,0.0,6.92,26.0,0.0,6.92,0,0,0
26.0,0.0,6.92,26.0,0.0,6.92,26.0,0.0,6.92,26.0,0.0,6.92,26.0,0.0,6.92,0,0,0
26.0,0.0,6.92,26.0,0.0,6.92,26.0,0.0,6.92,26.0,0.0,6.92,26.0,0.0,6.92,0,0,0
26.0,0.0,6.92,26.0,0.0,6.92,26.0,0.0,6.92,26.0,0.0,6.92,26.0,0.0,6.92,0,0,0
26.0,0.0,6.92,26.0,0.0,6.92,26.0,0.0,6.92,26.0,0.0,6.92,26.0,0.0,6.92,0,0,0
26.0,0.0,6.92,26.0,0.0,6.92,26.0,0.0,6.92,26.0,0.0,6.92,26.0,0.0,6.92,0,0,0
26.0,0.0,6.92,26.0,0.0,6.92,26.0,0.0,6.92,26.0,0.0,6.92,26.0,0.0,6.92,0,0,0
26.0,0.0,6.92,26.0,0.0,6.92,26.0,0.0,6.92,26.0,0.0,6.92,26.0,0.0,6.93,0,0,0
26.0,0.0,6.92,26.0,0.0,6.92,26.0,0.0,6.92,26.0,0.0,6.93,26.0,0.0,6.93,0,0,0
26.0,0.0,6.92,26.0,0.0,6.92,26.0,0.0,6.93,26.0,0.0,6.93,26.0,0.0,6.93,0,0,0
26.0,0.0,6.92,26.0,0.0,6.93,26.0,0.0,6.93,26.0,0.0,6.93,26.0,0.0,6.93,0,0,0
26.0,0.0,6.93,26.0,0.0,6.93,26.0,0.0,6.93,26.0,0.0,6.93,26.0,0.0,7.23,0,0,0
26.0,0.0,6.93,26.0,0.0,6.93,26.0,0.0,6.93,26.0,0.0,7.23,26.0,0.0,7.56,0,0,1
26.0,0.0,6.93,26.0,0.0,6.93,26.0,0.0,7.23,26.0,0.0,7.56,26.0,0.0,7.56,0,0,1
26.0,0.0,6.93,26.0,0.0,7.23,26.0,0.0,7.56,26.0,0.0,7.56,26.0,0.0,7.85,0,0,1
26.0,0.0,7.23,26.0,0.0,7.56,26.0,0.0,7.56,26.0,0.0,7.85,26.0,0.0,7.9,0,0,1
26.0,0.0,7.56,26.0,0.0,7.56,26.0,0.0,7.85,26.0,0.0,7.9,26.0,0.0,8.21,0,0,0
26.0,0.0,7.56,26.0,0.0,7.85,26.0,0.0,7.9,26.0,0.0,8.21,26.0,0.0,8.54,0,0,1
26.0,0.0,7.85,26.0,0.0,7.9,26.0,0.0,8.21,26.0,0.0,8.54,26.0,0.0,8.54,0,0,1
26.0,0.0,7.9,26.0,0.0,8.21,26.0,0.0,8.54,26.0,0.0,8.54,26.0,0.0,8.55,0,0,1
26.0,0.0,8.21,26.0,0.0,8.54,26.0,0.0,8.54,26.0,0.0,8.55,26.0,0.0,8.55,0,0,1
26.0,0.0,8.54,26.0,0.0,8.54,26.0,0.0,8.55,26.0,0.0,8.55,26.0,0.0,8.9,0,0,0
26.0,0.0,8.54,26.0,0.0,8.55,26.0,0.0,8.55,26.0,0.0,8.9,26.0,0.0,8.9,0,0,0
26.0,0.0,8.55,26.0,0.0,8.55,26.0,0.0,8.9,26.0,0.0,8.9,26.0,0.0,8.9,0,0,0
26.0,0.0,8.55,26.0,0.0,8.9,26.0,0.0,8.9,26.0,0.0,8.9,26.0,0.0,8.9,0,0,0
26.0,0.0,8.9,26.0,0.0,8.9,26.0,0.0,8.9,26.0,0.0,8.9,26.0,0.0,8.9,0,0,0
26.0,0.0,8.9,26.0,0.0,8.9,26.0,0.0,8.9,26.0,0.0,8.9,26.0,0.0,8.91,0,0,0
26.0,0.0,8.9,26.0,0.0,8.9,26.0,0.0,8.9,26.0,0.0,8.91,26.0,0.0,8.91,0,0,0
26.0,0.0,8.9,26.0,0.0,8.9,26.0,0.0,8.91,26.0,0.0,8.91,26.0,0.0,8.91,0,0,0
26.0,0.0,8.9,26.0,0.0,8.91,26.0,0.0,8.91,26.0,0.0,8.91,26.0,0.0,9.23,0,0,0
26.0,0.0,8.91,26.0,0.0,8.91,26.0,0.0,8.91,26.0,0.0,9.23,26.0,0.0,9.24,0,0,0
26.0,0.0,8.91,26.0,0.0,8.91,26.0,0.0,9.23,26.0,0.0,9.24,26.0,0.0,9.24,0,0,0
26.0,0.0,8.91,26.0,0.0,9.23,26.0,0.0,9.24,26.0,0.0,9.24,26.0,0.0,9.27,0,0,0
26.0,0.0,9.23,26.0,0.0,9.24,26.0,0.0,9.24,26.0,0.0,9.27,26.0,0.0,9.33,0,0,0
26.0,0.0,9.24,26.0,0.0,9.24,26.0,0.0,9.27,26.0,0.0,9.33,26.0,0.0,9.34,0,0,0
26.0,0.0,9.24,26.0,0.0,9.27,26.0,0.0,9.33,26.0,0.0,9.34,26.0,0.0,9.47,0,0,0
26.0,0.0,9.27,26.0,0.0,9.33,26.0,0.0,9.34,26.0,0.0,9.47,26.0,0.0,9.52,0,0,1
26.0,0.0,9.33,26.0,0.0,9.34,26.0,0.0,9.47,26.0,0.0,9.52,26.0,0.0,9.56,0,0,1
26.0,0.0,9.34,26.0,0.0,9.47,26.0,0.0,9.52,26.0,0.0,9.56,26.0,0.0,9.56,0,0,1
26.0,0.0,9.47,26.0,0.0,9.52,26.0,0.0,9.56,26.0,0.0,9.56,26.0,0.0,9.56,0,0,1
26.0,0.0,9.52,26.0,0.0,9.56,26.0,0.0,9.56,26.0,0.0,9.56,26.0,0.0,9.56,0,0,0
26.0,0.0,9.56,26.0,0.0,9.56,26.0,0.0,9.56,26.0,0.0,9.56,26.0,0.0,9.56,0,0,0
26.0,0.0,9.56,26.0,0.0,9.56,26.0,0.0,9.56,26.0,0.0,9.56,26.0,0.0,9.57,0,0,0
26.0,0.0,9.56,26.0,0.0,9.56,26.0,0.0,9.56,26.0,0.0,9.57,26.0,0.0,9.57,0,0,0
26.0,0.0,9.56,26.0,0.0,9.56,26.0,0.0,9.57,26.0,0.0,9.57,26.0,0.0,9.57,0,0,0
26.0,0.0,9.56,26.0,0.0,9.57,26.0,0.0,9.57,26.0,0.0,9.57,26.0,0.0,9.58,0,0,0
26.0,0.0,9.57,26.0,0.0,9.57,26.0,0.0,9.57,26.0,0.0,9.58,26.0,0.0,9.58,0,0,0
26.0,0.0,9.57,26.0,0.0,9.57,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,0,0,0
26.0,0.0,9.57,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,0,0,0
26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,0,0,0
26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,0,0,0
26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,0,0,0
26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,0,0,0
26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,0,0,0
26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,0,0,0
26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,0,0,0
26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,0,0,0
26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,0,0,0
26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,0,0,0
26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,0,0,0
26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,0,0,0
26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,0,0,0
26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,0,0,0
26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,0,0,0
26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,0,0,0
26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,0,0,0
26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,0,0,0
26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,0,0,0
26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,0,0,0
26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,0,0,0
26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,0,0,0
26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,0,0,0
26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,0,0,0
26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.59,0,0,0
26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.58,26.0,0.0,9.58,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.58,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,26.0,0.0,9.59,0,0,0
